"NewsCode-URI","NewsCode-QCode (flat)","Level 1/NewsCode","Level 2/NewsCode","Level 3/NewsCode","Level 4/NewsCode","Level 5/NewsCode","Name (en-GB)","Definition (en-GB)","Name (fr)","Definition (fr)","Name (es)","Definition (es)","Name (de)","Definition (de)","Name (it)","Definition (it)","Name (jp)","Definition (jp)"
"http://cv.iptc.org/newscodes/subjectcode/01000000","subj:01000000","subj:01000000",,,,,"arts, culture and entertainment","Matters pertaining to the advancement and refinement of the human mind, of interests, skills, tastes and emotions ","Arts, culture, et spectacles","Tout ce qui est relatif à la création d'œuvres, au développement des facultés intellectuelles, et à leur représentation publique ","arte, cultura y espectáculos","Asuntos pertinentes al avance y refinamiento de la mente humana, intereses, habilidades, gustos y emociones. ","Kultur, Kunst, Unterhaltung","Sachverhalte, die die Veränderung und Weiterentwicklung des menschlichen Geistes, der Interessen, des Geschmacks, der Fähigkeiten und der Gefühle betreffen. ","Arte, cultura, intrattenimento","Creazione e rappresentazione dell'opera d'arte, gli interessi intellettuali, il gusto e le emozioni umane ","文化","人間の精神や興味、技能、嗜好、感情の進歩や洗練に関係する事柄 "
"http://cv.iptc.org/newscodes/subjectcode/01001000","subj:01001000",,"subj:01001000",,,,"archaeology","Probing the past through ruins and artefacts ","Archéologie","Science étudiant les vestiges matériels des civilisations du passé ","arqueología","Cmprobar elpasado mediante ruinas y artefactos ","Archäologie","Erforschen der Vergangenheit anhand von Ruinen und alten Gebrauchsgegenständen. ","Archeologia","Studio delle civiltà e delle culture del passato attraverso la raccolta e documentazione delle tracce e vestigia lasciate ","考古学","遺跡や人工遺物を通して過去を探ること "
"http://cv.iptc.org/newscodes/subjectcode/01002000","subj:01002000",,"subj:01002000",,,,"architecture","Designing of buildings, monuments and the spaces around them ","Architecture","Conception des immeubles, des monuments et des espaces qui les entourent ","arquitectura","Diseño de edificios, monumentos y espáciosalrededor de ellos ","Architektur","Entwurf von Gebäuden, Denkmälern und deren Umgebung. ","Architettura","Ideazione e progettazione di edifici, monumenti e degli spazi loro circostanti ","建築","建物、記念碑とその周辺のスペースを設計すること "
"http://cv.iptc.org/newscodes/subjectcode/01003000","subj:01003000",,"subj:01003000",,,,"bullfighting","Classical contest pitting man against the bull ","Tauromachie","Tauromachie, combat entre un homme et un taureau ","toros","Clasico enfrentamiento entre Toro y Hombre. ","Stierkampf","Klassischer Wettkampf Mann gegen Stier. ","Corrida","Tradizionale combattimento fra uomo e toro ","闘牛","人間を雄牛と戦わせる伝統的な競技 "
"http://cv.iptc.org/newscodes/subjectcode/01004000","subj:01004000",,"subj:01004000",,,,"festive event (including carnival)","Parades, parties, celebrations and the like not necessarily tied to a fixed occasion or date ","Festivals et carnavals","Fêtes, carnavals, défilés, et autres célébrations festives pas forcément liés à une date récurente ","carnaval","Paradas, fiestas, celebraciones y eventos no necesariamente relacionados a una ocasión o fecha en particular ","Feste, Karneval","Paraden, Parties, Feiern und Ähnliches nicht notwendigerweise an ein Ereignis oder Datum gekoppelt. ","Feste, Carnevale","Parate, feste, celebrazioni ed eventi simili non necessariamente legati ad occasioni o date fisse ","祭り・イベント","決まった機会や日付に必ずしも結び付けられないパレード、パーティー、祝賀およびそれらに類したもの "
"http://cv.iptc.org/newscodes/subjectcode/01005000","subj:01005000",,"subj:01005000",,,,"cinema","Cinema as art and entertainment ","Cinéma","Procédé d'enregistrement et de projection de vues photographiques animées et art de réaliser des films ","cine","Historias relacionadas al cine como arte y entretención ","Film","Film im künstlerischen und unterhaltenden Sinn","Cinema","Ideazione, produzione, realizzazione di storie attraverso la pellicola cinematografica e fruizione da parte del pubblico ","映画","芸術や娯楽としての映画と関連した記事 "
"http://cv.iptc.org/newscodes/subjectcode/01005001","subj:01005001",,,"subj:01005001",,,"film festival","National and international motion pictures festivals, selections, festival juries, nominations, awards etc. ","Festival de cinéma","Festivals nationaux ou internationaux de cinéma, récompenses, jurys ","festival de cine","Historias acerca de u festival de peliculas nacional o internacional, selecciones, jurados, moninaciones, premios, etc. ","Filmfestival","Nationale und internationale Festivals der bewegten Bilder, deren Auswahl, Nominierungen, Preise, Auszeichnungen und Juris. ","Festival Cinema","Festival e rassegne cinematografiche, selezioni, giurie, candidature, premi, ecc. ","映画祭","国内的及び国際的な映画祭におけるストーリー、セレクション、審査員、ノミネート、賞など "
"http://cv.iptc.org/newscodes/subjectcode/01006000","subj:01006000",,"subj:01006000",,,,"dance","The expression of emotion or message through movement ","Danse","Suite de mouvements rythmés exprimant un message ou une émotion ","danza","La expresion de emociones o mensajes a través del movimiento ","Tanz","Der Ausdruck von Gefühlen durch Bewegung. ","Ballo","Comunicazione di un'emozione o messaggio attraverso il movimento. ","ダンス","身体動作による感情やメッセージの表現 "
"http://cv.iptc.org/newscodes/subjectcode/01007000","subj:01007000",,"subj:01007000",,,,"fashion","The design of clothing and accessories ","Mode","Manière peu durable et collective d'agir, de penser, de se vêtir, etc. ","moda","El diseño de ropas o accesorios ","Mode","Der Entwurf von Kleidern und Accessoires. ","Moda","Espressione di un gusto e di una cultura nel disegno e nella creazione di abiti e accessori, l'industria, le sfilate, il design ","ファッション","衣類とアクセサリーのデザイン "
"http://cv.iptc.org/newscodes/subjectcode/01007001","subj:01007001",,,"subj:01007001",,,"jewelry","Accessories to clothing ","Joaillerie","Joyaux et bijoux accessoires à l'habillement ","joyas","Accesorios de vestimentas ","Schmuck","Accessoires zur Kleidung. ","Gioielli","Accessori ornamentali da indossare, di solito realizzati con metalli o altri materiali nobili ma anche la bigiotteria ","アクセサリー","衣服に付けるアクセサリー "
"http://cv.iptc.org/newscodes/subjectcode/01008000","subj:01008000",,"subj:01008000",,,,"language","The means by which people communicate with each other ","Langue","Faculté de communiquer au moyen de la parole ","lenguaje","La forma en que la gente se comunica, los unos a los otros. ","Sprache","Die Mittel mit denen Menschen miteinander kommunizieren. ","Linguaggio","Forme attraverso le quali le persone comunicano. ","言語","人がお互いに情報を伝達する手段 "
"http://cv.iptc.org/newscodes/subjectcode/01009000","subj:01009000",,"subj:01009000",,,,"library and museum","Edifices used to house collections of books, music, art, or objects from the past and present for public use and display ","Bibliothèque et musée","Bâtiments ouverts au public pour la consultation de livres et de disques ou l'exposition de collections d'objets d'arts ","bibliotecas y museos","Edificios utilizados para albergar colecciones de libros, música, arte u objetos del pasado y presente para su exhibición pública. ","Bibliothek und Museum","Gebäude, die Sammlungen von Büchern, Musik, Kunst oder Objekte aus Vergangenheit und Gegenwart, zur öffentlichen Nutzung und Ansicht bereitstellen.","Biblioteche, musei","Collezioni di libri, musica, arte, o oggetti del passato e del presente per fruizione da parte del pubblico o per esposizione. ","図書館・博物館","公共の使用や展示を目的とする、過去から現代までの本、音楽、芸術、あるいはオブジェクトの収集を収容するために使われる建造物 "
"http://cv.iptc.org/newscodes/subjectcode/01010000","subj:01010000",,"subj:01010000",,,,"literature","The use of pamphlets, books or other printed matter to convey ideas, stories or other messages for the public ","Littérature","Ensemble des œuvres écrites ","literatura","El uso de panfletos, libros u otro material impreso para comunicar ideas, historias u otros mensajes al público. ","Literatur","Die Nutzung von Broschüren, Büchern oder anderen Printmedien, um Ideen, Geschichten oder andere Botschaften in der Öffentlichkeit zu verbreiten. ","Letteratura","Opuscoli, libri o altro materiale stampato per comunicare al pubblico idee, storie o altri messaggi. ","文学","思想、物語あるいはその他のメッセージを大衆に伝えるためのパンフレット、本あるいはその他の印刷物の使用 "
"http://cv.iptc.org/newscodes/subjectcode/01010001","subj:01010001",,,"subj:01010001",,,"fiction","Structured stories that are usually not based on fact but are the creation of the authors imagination ","Fiction","Tout ce qui relève de l'imaginaire ","ficción","Historias Estructuradas que generalmente no se basan en un hecho, sino en la imaginación de los autores. ","Fiktion","Strukturierte Geschichten, die meist der Fantasie des Autors entspringen und nicht auf Fakten beruhen. ","Narrativa","Racconto in forma di prosa di storie strutturate che generalmente non si basano su fatti reali e che sono frutto dell'immaginazione degli autori; romanzi, racconti, novelle ","フィクション","通常は事実に基づいておらず、著者の想像で創作された物語 "
"http://cv.iptc.org/newscodes/subjectcode/01010002","subj:01010002",,,"subj:01010002",,,"poetry","The art, structure, forms of poetic expression ","Poésie","Art, structure et formes de l'expresion poétique ","poesía","El arte, estructuras, y formas de expresón poética. ","Poesie","Kunst, Struktur und Formen des poetischen Ausdrucks. ","Poesia","Arte, struttura e forme dell'espressione poetica ","詩","芸術、構成、詩的な表現の形式 "
